"","x"
"chrCM028150.1",1248
"chrCM028151.1",1315
"chrCM028152.1",710
"chrCM028153.1",680
"chrCM028154.1",723
"chrCM028155.1",678
"chrCM028156.1",570
"chrCM028157.1",525
"chrCM028158.1",524
"chrCM028159.1",487
"chrCM028160.1",508
"chrCM028161.1",564
"chrCM028162.1",418
"chrCM028163.1",347
